PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9
X525_120515_0 -30.7299588676523 20.1188694839341 -39.1357175851189 -17.9418805436202 -77.9980768941896 -14.2739130320748 -7.3772232605386 8.6587257620659 -1.03233665105923e-14
X383_120503_0 -4.24578957811387 28.552887289668 -43.5755402900147 44.6747894093981 7.19735161793576 8.14207781645139 47.1407418334246 -7.68084187717658 8.98325467832417e-14
X560_120517_0 -129.5881813566 -2.06999116612123 -3.81617656535452 21.764182121961 21.8571074674323 -23.9484102584827 -22.2440357097955 -32.0342508937493 -2.80456159598014e-13
X492_120515_0 110.082999891444 64.6500476797484 70.3535528548922 0.361487895644501 -0.766358140715665 -29.5718715384419 4.32489195042022 -4.89406419317737 4.0149337305305e-13
X150_120419_0 49.2209397055649 -26.797930707633 -47.0012600591653 -75.4879079494526 38.946621785994 -15.8972188827925 5.3537839546084 2.55330435094057 -4.76395927372607e-13
X398_120503_0 -138.701532006728 -2.06420893034103 55.3315982002077 -21.2175638026691 10.2491878163287 12.2471520096047 13.0803968038422 29.857752079203 -2.50349328941024e-13
X377_120503_0 50.9208552432608 26.8383172332167 -31.2032931439166 45.122318774311 25.9723156389153 11.6803984003981 -32.0167530451351 29.5892881970776 3.82668180996804e-13
X583_120522_0 33.0650353480183 15.9245052546736 14.5611707118129 -27.1460227310574 -9.63900393205009 54.320166831794 -10.8272130824233 -25.7241445403679 2.0705507620955e-13
X564_120517_1 59.975631620806 -125.152496137146 24.4856658766579 29.8705968254846 -15.8191453596503 -2.69838134645662 2.56541055559709 -0.325768884816 -2.24049294741957e-14
